Quantify Compound Summary Report 

Printed Tue May 19 17:18:28 2026

Compound 1:  SA

	#	Name	Type	Std. Conc	RT	Height	Area	IS Height	IS Area	Response	Primary Flags	ng/ml	%Dev	%Rec
27	27	260508_phytohormones_AKirchhofer_U1			7.68	27608	1749	518413	22993	0.07605	MM	0.43862		
28	28	260508_phytohormones_AKirchhofer_U2			7.68	119937	6822	509667	22671	0.30090	MM	1.74668		
29	29	260508_phytohormones_AKirchhofer_U3			7.68	9004	631	487098	21483	0.02936	MM	0.16699		
30	30	260508_phytohormones_AKirchhofer_std_5_ngml_3	QC	5.000	7.62	689397	30936	825771	36470	0.84825	bb	4.93079	-1.4	98.6
31	31	260508_phytohormones_AKirchhofer_BC1			7.62	112052	4751	641982	30026	0.15824	MM	0.91673		
32	32	260508_phytohormones_AKirchhofer_BC3			7.62	97514	3959	579139	27480	0.14407	MM	0.83428		
33	33	260508_phytohormones_AKirchhofer_BC4			7.62	265722	11424	528931	24065	0.47473	bd	2.75787		
34	34	260508_phytohormones_AKirchhofer_BC5			7.62	112629	4698	692164	31498	0.14914	MM	0.86379		
35	35	260508_phytohormones_AKirchhofer_BT1			7.62	92532	4329	582510	27205	0.15913	MM	0.92193		
36	36	260508_phytohormones_AKirchhofer_BT3			7.62	104475	4497	628943	28141	0.15979	bd	0.92577		
37	37	260508_phytohormones_AKirchhofer_BT5			7.62	156764	6445	565816	26067	0.24723	MM	1.43446		
38	38	260508_phytohormones_AKirchhofer_MT1			7.62	46730	1662	548445	25520	0.06514	bd	0.37511		
39	39	260508_phytohormones_AKirchhofer_MT2			7.62	65316	2212	520604	24036	0.09204	bd	0.53164		
40	40	260508_phytohormones_AKirchhofer_MT3			7.62	84171	2939	566225	25717	0.11429	bd	0.66108		
41	41	260508_phytohormones_AKirchhofer_std_5_ngml_4	QC	5.000	7.62	704591	31766	812491	37039	0.85763	bb	4.98537	-0.3	99.7
42	42	260508_phytohormones_AKirchhofer_MT4			7.62	62821	2176	548437	25590	0.08504	bd	0.49090		
43	43	260508_phytohormones_AKirchhofer_MC1			7.62	188124	6974	588497	26794	0.26028	bd	1.51034		
44	44	260508_phytohormones_AKirchhofer_MC2			7.62	90444	2990	608826	28591	0.10456	bd	0.60448		
45	45	260508_phytohormones_AKirchhofer_MC4			7.62	350984	13039	452343	20740	0.62868	bd	3.65346		
46	46	260508_phytohormones_AKirchhofer_MC5			7.61	728	9	818042	36920	0.00025	MMI			
47	47	260508_phytohormones_AKirchhofer_B_1			7.62	58125	2505	709513	32762	0.07647	bd	0.44102		
48	48	260508_phytohormones_AKirchhofer_B_2			7.62	108017	4786	686057	31482	0.15203	bd	0.88063		
49	49	260508_phytohormones_AKirchhofer_M			7.62	113063	3993	573732	26246	0.15213	bd	0.88119		
50	50	260508_phytohormones_AKirchhofer_unknown			7.62	377289	17702	678257	32017	0.55291	bb	3.21270		
51	51	260508_phytohormones_AKirchhofer_std_5_ngml_5	QC	5.000	7.62	709709	32673	867632	38415	0.85054	bb	4.94412	-1.1	98.9

Compound 6:  JA-Ile-13C6

	#	Name	Type	Std. Conc	RT	Height	Area	IS Height	IS Area	Response	Primary Flags	ng/ml	%Dev	%Rec
1	1	260508_phytohormones_AKirchhofer_MeOH50_1		1.000										
2	2	260508_phytohormones_AKirchhofer_MeOH50_2		1.000										
3	3	260508_phytohormones_AKirchhofer_std_0_ngml		1.000	7.62	838165	37122			37121.91000	bb	1.01889	1.9	101.9
4	4	260508_phytohormones_AKirchhofer_std_005_ngml	Standard	1.000	7.62	849366	36995			36995.31300	bb	1.01541	1.5	101.5
5	5	260508_phytohormones_AKirchhofer_std_01_ngml	Standard	1.000	7.62	801646	36189			36189.06300	bb	0.99328	-0.7	99.3
6	6	260508_phytohormones_AKirchhofer_std_05_ngml	Standard	1.000	7.62	807118	36584			36584.24600	db	1.00413	0.4	100.4
7	7	260508_phytohormones_AKirchhofer_std_1_ngml	Standard	1.000	7.62	819991	36694			36693.76600	bb	1.00714	0.7	100.7
8	8	260508_phytohormones_AKirchhofer_std_2_ngml	Standard	1.000	7.62	811573	36834			36833.63300	bb	1.01097	1.1	101.1
9	9	260508_phytohormones_AKirchhofer_std_5_ngml_1	Standard	1.000	7.62	840168	36609			36608.60900	bb	1.00480	0.5	100.5
10	10	260508_phytohormones_AKirchhofer_std_10_ngml	Standard	1.000	7.62	799255	36148			36147.63700	bb	0.99215	-0.8	99.2
11	11	260508_phytohormones_AKirchhofer_std_50_ngml	Standard	1.000	7.62	800746	36161			36160.74200	bb	0.99251	-0.7	99.3
12	12	260508_phytohormones_AKirchhofer_std_100_ngml	Standard	1.000	7.62	791923	35691			35691.22300	bb	0.97962	-2.0	98.0
13	13	260508_phytohormones_AKirchhofer_IPA_2		1.000										
14	14	260508_phytohormones_AKirchhofer_MeOH50_3		1.000										
15	15	260508_phytohormones_AKirchhofer_MeOH50_4		1.000										
16	16	260508_phytohormones_AKirchhofer_Blanc		1.000										
17	17	260508_phytohormones_AKirchhofer_B1		1.000	7.62	472002	21048			21047.57400	bb	0.57769	-42.2	57.8
18	18	260508_phytohormones_AKirchhofer_B2		1.000	7.62	512890	23000			23000.07000	bb	0.63128	-36.9	63.1
19	19	260508_phytohormones_AKirchhofer_B3		1.000	7.62	384297	16889			16889.38500	bb	0.46356	-53.6	46.4
20	20	260508_phytohormones_AKirchhofer_C1		1.000	7.62	516623	23304			23303.97500	bb	0.63963	-36.0	64.0
21	21	260508_phytohormones_AKirchhofer_C2		1.000	7.62	463573	20787			20786.76000	bb	0.57053	-42.9	57.1
22	22	260508_phytohormones_AKirchhofer_C3		1.000	7.62	431069	19470			19470.16600	bb	0.53440	-46.6	53.4
23	23	260508_phytohormones_AKirchhofer_std_5_ngml_2	QC	1.000	7.62	817031	36189			36189.41000	bb	0.99329	-0.7	99.3
24	24	260508_phytohormones_AKirchhofer_S1		1.000	7.62	506518	21664			21663.98600	bb	0.59461	-40.5	59.5
25	25	260508_phytohormones_AKirchhofer_S2		1.000	7.62	502437	21787			21787.29700	db	0.59800	-40.2	59.8
26	26	260508_phytohormones_AKirchhofer_S3		1.000	7.62	512665	22177			22177.01600	bb	0.60869	-39.1	60.9
27	27	260508_phytohormones_AKirchhofer_U1		1.000	7.62	518413	22993			22992.70100	db	0.63108	-36.9	63.1
28	28	260508_phytohormones_AKirchhofer_U2		1.000	7.62	509667	22671			22671.29700	bb	0.62226	-37.8	62.2
29	29	260508_phytohormones_AKirchhofer_U3		1.000	7.62	487098	21483			21483.38100	bb	0.58966	-41.0	59.0
30	30	260508_phytohormones_AKirchhofer_std_5_ngml_3	QC	1.000	7.62	825771	36470			36470.41800	bb	1.00100	0.1	100.1
31	31	260508_phytohormones_AKirchhofer_BC1		1.000	7.62	641982	30026			30026.15000	bb	0.82413	-17.6	82.4
32	32	260508_phytohormones_AKirchhofer_BC3		1.000	7.62	579139	27480			27479.97300	bb	0.75424	-24.6	75.4
33	33	260508_phytohormones_AKirchhofer_BC4		1.000	7.62	528931	24065			24065.15800	bb	0.66052	-33.9	66.1
34	34	260508_phytohormones_AKirchhofer_BC5		1.000	7.62	692164	31498			31498.06600	bb	0.86453	-13.5	86.5
35	35	260508_phytohormones_AKirchhofer_BT1		1.000	7.62	582510	27205			27205.45900	bb	0.74671	-25.3	74.7
36	36	260508_phytohormones_AKirchhofer_BT3		1.000	7.62	628943	28141			28140.61900	bb	0.77238	-22.8	77.2
37	37	260508_phytohormones_AKirchhofer_BT5		1.000	7.62	565816	26067			26066.60200	bb	0.71545	-28.5	71.5
38	38	260508_phytohormones_AKirchhofer_MT1		1.000	7.62	548445	25520			25520.06100	bb	0.70045	-30.0	70.0
39	39	260508_phytohormones_AKirchhofer_MT2		1.000	7.62	520604	24036			24036.17600	bb	0.65972	-34.0	66.0
40	40	260508_phytohormones_AKirchhofer_MT3		1.000	7.62	566225	25717			25717.46900	bb	0.70587	-29.4	70.6
41	41	260508_phytohormones_AKirchhofer_std_5_ngml_4	QC	1.000	7.62	812491	37039			37039.36300	bb	1.01662	1.7	101.7
42	42	260508_phytohormones_AKirchhofer_MT4		1.000	7.62	548437	25590			25589.70300	bb	0.70236	-29.8	70.2
43	43	260508_phytohormones_AKirchhofer_MC1		1.000	7.62	588497	26794			26794.34000	bb	0.73543	-26.5	73.5
44	44	260508_phytohormones_AKirchhofer_MC2		1.000	7.62	608826	28591			28590.95900	bb	0.78474	-21.5	78.5
45	45	260508_phytohormones_AKirchhofer_MC4		1.000	7.62	452343	20740			20740.03900	bb	0.56925	-43.1	56.9
46	46	260508_phytohormones_AKirchhofer_MC5		1.000	7.62	818042	36920			36919.82400	bb	1.01334	1.3	101.3
47	47	260508_phytohormones_AKirchhofer_B_1		1.000	7.62	709513	32762			32761.98800	bb	0.89922	-10.1	89.9
48	48	260508_phytohormones_AKirchhofer_B_2		1.000	7.62	686057	31482			31482.44500	bb	0.86410	-13.6	86.4
49	49	260508_phytohormones_AKirchhofer_M		1.000	7.62	573732	26246			26246.48800	bb	0.72039	-28.0	72.0
50	50	260508_phytohormones_AKirchhofer_unknown		1.000	7.62	678257	32017			32016.74600	bb	0.87876	-12.1	87.9
51	51	260508_phytohormones_AKirchhofer_std_5_ngml_5	QC	1.000	7.62	867632	38415			38414.78500	bb	1.05437	5.4	105.4

Compound 7:  JA

	#	Name	Type	Std. Conc	RT	Height	Area	IS Height	IS Area	Response	Primary Flags	ng/ml	%Dev	%Rec
1	1	260508_phytohormones_AKirchhofer_MeOH50_1												
2	2	260508_phytohormones_AKirchhofer_MeOH50_2												
3	3	260508_phytohormones_AKirchhofer_std_0_ngml						838165	37122					
4	4	260508_phytohormones_AKirchhofer_std_005_ngml	Standard	0.050	6.61	6222	274	849366	36995	0.00741	MM	0.05339	6.8	106.8
5	5	260508_phytohormones_AKirchhofer_std_01_ngml	Standard	0.100	6.61	11173	542	801646	36189	0.01497	bb	0.10158	1.6	101.6
6	6	260508_phytohormones_AKirchhofer_std_05_ngml	Standard	0.500	6.61	62110	2786	807118	36584	0.07615	MM	0.49160	-1.7	98.3
7	7	260508_phytohormones_AKirchhofer_std_1_ngml	Standard	1.000	6.61	125612	5621	819991	36694	0.15318	bb	0.98274	-1.7	98.3
8	8	260508_phytohormones_AKirchhofer_std_2_ngml	Standard	2.000	6.61	248311	11294	811573	36834	0.30662	bb	1.96095	-2.0	98.0
9	9	260508_phytohormones_AKirchhofer_std_5_ngml_1	Standard	5.000	6.61	625951	27852	840168	36609	0.76081	bb	4.85662	-2.9	97.1
10	10	260508_phytohormones_AKirchhofer_std_10_ngml	Standard	10.000	6.61	1234886	55584	799255	36148	1.53769	bb	9.80961	-1.9	98.1
11	11	260508_phytohormones_AKirchhofer_std_50_ngml	Standard	50.000	6.61	6262805	291400	800746	36161	8.05845	MM	51.38237	2.8	102.8
12	12	260508_phytohormones_AKirchhofer_std_100_ngml	Standard	100.000	6.61	12002685	554253	791923	35691	15.52911	bb	99.01115	-1.0	99.0
13	13	260508_phytohormones_AKirchhofer_IPA_2												
14	14	260508_phytohormones_AKirchhofer_MeOH50_3												
15	15	260508_phytohormones_AKirchhofer_MeOH50_4												
16	16	260508_phytohormones_AKirchhofer_Blanc												
17	17	260508_phytohormones_AKirchhofer_B1			6.60	33139	1453	472002	21048	0.06904	MM	0.44629		
18	18	260508_phytohormones_AKirchhofer_B2			6.60	411504	17851	512890	23000	0.77614	bb	4.95437		
19	19	260508_phytohormones_AKirchhofer_B3			6.60	71493	3088	384297	16889	0.18282	bb	1.17172		
20	20	260508_phytohormones_AKirchhofer_C1			6.60	116456	4997	516623	23304	0.21444	bb	1.37327		
21	21	260508_phytohormones_AKirchhofer_C2			6.60	18760	767	463573	20787	0.03691	bb	0.24145		
22	22	260508_phytohormones_AKirchhofer_C3			6.60	8234	342	431069	19470	0.01754	bb	0.11797		
23	23	260508_phytohormones_AKirchhofer_std_5_ngml_2	QC	5.000	6.61	623554	28124	817031	36189	0.77715	bb	4.96079	-0.8	99.2
24	24	260508_phytohormones_AKirchhofer_S1			6.60	179552	7753	506518	21664	0.35785	bb	2.28762		
25	25	260508_phytohormones_AKirchhofer_S2			6.60	64718	2719	502437	21787	0.12482	bb	0.80192		
26	26	260508_phytohormones_AKirchhofer_S3			6.60	581281	24695	512665	22177	1.11354	bb	7.10544		
27	27	260508_phytohormones_AKirchhofer_U1			6.60	54346	2282	518413	22993	0.09923	bb	0.63879		
28	28	260508_phytohormones_AKirchhofer_U2			6.60	946815	40903	509667	22671	1.80418	bb	11.50861		
29	29	260508_phytohormones_AKirchhofer_U3			6.60	24708	1025	487098	21483	0.04769	bb	0.31021		
30	30	260508_phytohormones_AKirchhofer_std_5_ngml_3	QC	5.000	6.61	620700	28246	825771	36470	0.77449	bb	4.94384	-1.1	98.9
31	31	260508_phytohormones_AKirchhofer_BC1			6.60	91707	3995	641982	30026	0.13306	bb	0.85442		
32	32	260508_phytohormones_AKirchhofer_BC3			6.61	84587	3775	579139	27480	0.13737	bb	0.88190		
33	33	260508_phytohormones_AKirchhofer_BC4			6.61	417181	18134	528931	24065	0.75352	bb	4.81015		
34	34	260508_phytohormones_AKirchhofer_BC5			6.61	57235	2466	692164	31498	0.07830	bb	0.50536		
35	35	260508_phytohormones_AKirchhofer_BT1			6.61	66325	2993	582510	27205	0.11000	bb	0.70744		
36	36	260508_phytohormones_AKirchhofer_BT3			6.61	128328	5634	628943	28141	0.20022	bb	1.28262		
37	37	260508_phytohormones_AKirchhofer_BT5			6.61	28187	1277	565816	26067	0.04899	bb	0.31850		
38	38	260508_phytohormones_AKirchhofer_MT1			6.60	167484	7382	548445	25520	0.28924	bb	1.85020		
39	39	260508_phytohormones_AKirchhofer_MT2			6.60	302713	13422	520604	24036	0.55839	bb	3.56615		
40	40	260508_phytohormones_AKirchhofer_MT3			6.60	272947	12039	566225	25717	0.46814	bb	2.99076		
41	41	260508_phytohormones_AKirchhofer_std_5_ngml_4	QC	5.000	6.61	645891	29034	812491	37039	0.78388	bb	5.00371	0.1	100.1
42	42	260508_phytohormones_AKirchhofer_MT4			6.60	165738	7409	548437	25590	0.28954	bb	1.85210		
43	43	260508_phytohormones_AKirchhofer_MC1			6.60	119757	5302	588497	26794	0.19790	bb	1.26781		
44	44	260508_phytohormones_AKirchhofer_MC2			6.60	133059	5669	608826	28591	0.19829	bb	1.27030		
45	45	260508_phytohormones_AKirchhofer_MC4			6.60	440978	20001	452343	20740	0.96438	bb	6.15450		
46	46	260508_phytohormones_AKirchhofer_MC5			6.60	3878	166	818042	36920	0.00449	bb	0.03476		
47	47	260508_phytohormones_AKirchhofer_B_1			6.60	86252	3817	709513	32762	0.11652	bb	0.74898		
48	48	260508_phytohormones_AKirchhofer_B_2			6.61	121549	5157	686057	31482	0.16380	bb	1.05042		
49	49	260508_phytohormones_AKirchhofer_M			6.60	281992	12235	573732	26246	0.46617	bb	2.97818		
50	50	260508_phytohormones_AKirchhofer_unknown			6.61	47898	2183	678257	32017	0.06819	bb	0.44087		
51	51	260508_phytohormones_AKirchhofer_std_5_ngml_5	QC	5.000	6.61	639111	29330	867632	38415	0.76351	bb	4.87384	-2.5	97.5

Compound 8:  OPDA

	#	Name	Type	Std. Conc	RT	Height	Area	IS Height	IS Area	Response	Primary Flags	ng/ml	%Dev	%Rec
1	1	260508_phytohormones_AKirchhofer_MeOH50_1												
2	2	260508_phytohormones_AKirchhofer_MeOH50_2												
3	3	260508_phytohormones_AKirchhofer_std_0_ngml						838165	37122					
4	4	260508_phytohormones_AKirchhofer_std_005_ngml	Standard	0.050				849366	36995					
5	5	260508_phytohormones_AKirchhofer_std_01_ngml	Standard	0.100	9.62	1495	60	801646	36189	0.00166	bb	0.10571	5.7	105.7
6	6	260508_phytohormones_AKirchhofer_std_05_ngml	Standard	0.500	9.61	9896	365	807118	36584	0.00997	bb	0.52635	5.3	105.3
7	7	260508_phytohormones_AKirchhofer_std_1_ngml	Standard	1.000	9.61	18409	640	819991	36694	0.01745	bb	0.90506	-9.5	90.5
8	8	260508_phytohormones_AKirchhofer_std_2_ngml	Standard	2.000	9.60	35017	1384	811573	36834	0.03757	bb	1.92411	-3.8	96.2
9	9	260508_phytohormones_AKirchhofer_std_5_ngml_1	Standard	5.000	9.61	94692	3648	840168	36609	0.09965	bd	5.06848	1.4	101.4
10	10	260508_phytohormones_AKirchhofer_std_10_ngml	Standard	10.000	9.61	185559	7158	799255	36148	0.19802	bb	10.05098	0.5	100.5
11	11	260508_phytohormones_AKirchhofer_std_50_ngml	Standard	50.000	9.61	933909	35977	800746	36161	0.99491	bd	50.41159	0.8	100.8
12	12	260508_phytohormones_AKirchhofer_std_100_ngml	Standard	100.000	9.61	1775778	70177	791923	35691	1.96624	bd	99.60773	-0.4	99.6
13	13	260508_phytohormones_AKirchhofer_IPA_2												
14	14	260508_phytohormones_AKirchhofer_MeOH50_3												
15	15	260508_phytohormones_AKirchhofer_MeOH50_4												
16	16	260508_phytohormones_AKirchhofer_Blanc												
17	17	260508_phytohormones_AKirchhofer_B1			9.61	13083382	503413	472002	21048	23.91788	bb	1211.41942		
18	18	260508_phytohormones_AKirchhofer_B2			9.61	10583436	400141	512890	23000	17.39736	bb	881.16672		
19	19	260508_phytohormones_AKirchhofer_B3			9.61	19590912	784012	384297	16889	46.42038	bb	2351.13121		
20	20	260508_phytohormones_AKirchhofer_C1			9.61	17645590	696977	516623	23304	29.90807	bb	1514.81207		
21	21	260508_phytohormones_AKirchhofer_C2			9.61	12711939	499837	463573	20787	24.04595	bb	1217.90599		
22	22	260508_phytohormones_AKirchhofer_C3			9.61	8844264	345553	431069	19470	17.74784	bb	898.91778		
23	23	260508_phytohormones_AKirchhofer_std_5_ngml_2	QC	5.000	9.61	93827	3487	817031	36189	0.09635	bb	4.90160	-2.0	98.0
24	24	260508_phytohormones_AKirchhofer_S1			9.60	24594964	1005114	506518	21664	46.39560	bb	2349.87590		
25	25	260508_phytohormones_AKirchhofer_S2			9.61	2660694	101910	502437	21787	4.67751	bb	236.92913		
26	26	260508_phytohormones_AKirchhofer_S3			9.61	30845834	1256514	512665	22177	56.65841	bb	2869.66874		
27	27	260508_phytohormones_AKirchhofer_U1			9.61	11153132	443000	518413	22993	19.26697	bb	975.85921		
28	28	260508_phytohormones_AKirchhofer_U2			9.61	63391192	2848930	509667	22671	125.66243	bb	6364.59957		
29	29	260508_phytohormones_AKirchhofer_U3			9.61	4940737	202137	487098	21483	9.40900	bb	476.57064		
30	30	260508_phytohormones_AKirchhofer_std_5_ngml_3	QC	5.000	9.61	95447	3602	825771	36470	0.09877	bb	5.02370	0.5	100.5
31	31	260508_phytohormones_AKirchhofer_BC1			9.61	15625004	881796	641982	30026	29.36760	bb	1487.43790		
32	32	260508_phytohormones_AKirchhofer_BC3			9.62	15736998	842450	579139	27480	30.65687	bb	1552.73712		
33	33	260508_phytohormones_AKirchhofer_BC4			9.63	7119477	352324	528931	24065	14.64042	bb	741.53237		
34	34	260508_phytohormones_AKirchhofer_BC5			9.63	13873282	639970	692164	31498	20.31776	bb	1029.07964		
35	35	260508_phytohormones_AKirchhofer_BT1			9.63	40398960	2487236	582510	27205	91.42415	bb	4630.49181		
36	36	260508_phytohormones_AKirchhofer_BT3			9.62	6170818	335842	628943	28141	11.93441	bb	604.47820		
37	37	260508_phytohormones_AKirchhofer_BT5			9.62	13651213	748769	565816	26067	28.72522	bb	1454.90264		
38	38	260508_phytohormones_AKirchhofer_MT1			9.61	28225000	1590614	548445	25520	62.32798	bb	3156.82237		
39	39	260508_phytohormones_AKirchhofer_MT2			9.61	13810262	747661	520604	24036	31.10564	bb	1575.46652		
40	40	260508_phytohormones_AKirchhofer_MT3			9.61	27033118	1478655	566225	25717	57.49615	bb	2912.09883		
41	41	260508_phytohormones_AKirchhofer_std_5_ngml_4	QC	5.000	9.61	95532	3839	812491	37039	0.10366	bd	5.27148	5.4	105.4
42	42	260508_phytohormones_AKirchhofer_MT4			9.61	17690128	993767	548437	25590	38.83464	bb	1966.92657		
43	43	260508_phytohormones_AKirchhofer_MC1			9.61	10072516	544120	588497	26794	20.30727	bb	1028.54867		
44	44	260508_phytohormones_AKirchhofer_MC2			9.61	7614569	375474	608826	28591	13.13260	bb	665.16399		
45	45	260508_phytohormones_AKirchhofer_MC4			9.61	29053346	1663730	452343	20740	80.21825	bb	4062.93285		
46	46	260508_phytohormones_AKirchhofer_MC5			9.61	709323	34684	818042	36920	0.93945	bb	47.60304		
47	47	260508_phytohormones_AKirchhofer_B_1			9.61	1861965	101067	709513	32762	3.08488	bb	156.26497		
48	48	260508_phytohormones_AKirchhofer_B_2			9.62	3647116	202593	686057	31482	6.43510	bb	325.94756		
49	49	260508_phytohormones_AKirchhofer_M			9.61	9699097	476321	573732	26246	18.14797	bb	919.18394		
50	50	260508_phytohormones_AKirchhofer_unknown			9.62	36851432	2135714	678257	32017	66.70615	bb	3378.56890		
51	51	260508_phytohormones_AKirchhofer_std_5_ngml_5	QC	5.000	9.61	104282	4182	867632	38415	0.10886	bb	5.53499	10.7	110.7

Compound 9:  IAA

	#	Name	Type	Std. Conc	RT	Height	Area	IS Height	IS Area	Response	Primary Flags	ng/ml	%Dev	%Rec
1	1	260508_phytohormones_AKirchhofer_MeOH50_1			5.33	8276	130				bb			
2	2	260508_phytohormones_AKirchhofer_MeOH50_2			5.33	9928	129				bb			
3	3	260508_phytohormones_AKirchhofer_std_0_ngml			5.32	11533	217	1870448	76178	0.00284	ddI			
4	4	260508_phytohormones_AKirchhofer_std_005_ngml	Standard	0.050				1871526	77099					
5	5	260508_phytohormones_AKirchhofer_std_01_ngml	Standard	0.100	5.31	90783	4134	1787060	74392	0.05557	bb	0.10443	4.4	104.4
6	6	260508_phytohormones_AKirchhofer_std_05_ngml	Standard	0.500	5.31	398740	16128	1858562	75691	0.21308	bb	0.46702	-6.6	93.4
7	7	260508_phytohormones_AKirchhofer_std_1_ngml	Standard	1.000	5.31	788661	33294	1792297	75030	0.44374	bb	0.99803	-0.2	99.8
8	8	260508_phytohormones_AKirchhofer_std_2_ngml	Standard	2.000	5.30	1627427	66116	1784872	74962	0.88200	bb	2.00694	0.3	100.3
9	9	260508_phytohormones_AKirchhofer_std_5_ngml_1	Standard	5.000	5.30	3814309	163737	1802097	74378	2.20141	bb	5.04435	0.9	100.9
10	10	260508_phytohormones_AKirchhofer_std_10_ngml	Standard	10.000	5.31	7872063	330210	1817863	75435	4.37742	bb	10.05371	0.5	100.5
11	11	260508_phytohormones_AKirchhofer_std_50_ngml	Standard	50.000	5.30	40096980	1675900	1725105	76106	22.02065	bb	50.66995	1.3	101.3
12	12	260508_phytohormones_AKirchhofer_std_100_ngml	Standard	100.000	5.30	74935552	3217937	1805302	74618	43.12567	bb	99.25557	-0.7	99.3
13	13	260508_phytohormones_AKirchhofer_IPA_2												
14	14	260508_phytohormones_AKirchhofer_MeOH50_3			5.33	8747	91				bb			
15	15	260508_phytohormones_AKirchhofer_MeOH50_4			5.38	13216	126				bb			
16	16	260508_phytohormones_AKirchhofer_Blanc												
17	17	260508_phytohormones_AKirchhofer_B1			5.30	727945	33635	796720	32117	1.04729	db	2.38745		
18	18	260508_phytohormones_AKirchhofer_B2			5.31	887685	40992	888339	37343	1.09771	db	2.50353		
19	19	260508_phytohormones_AKirchhofer_B3			5.31	1102383	46872	612131	26370	1.77746	db	4.06837		
20	20	260508_phytohormones_AKirchhofer_C1			5.31	506369	24136	785146	32630	0.73970	db	1.67935		
21	21	260508_phytohormones_AKirchhofer_C2			5.31	710350	32152	526545	22176	1.44984	db	3.31416		
22	22	260508_phytohormones_AKirchhofer_C3			5.30	451852	20352	570265	23624	0.86152	bb	1.95979		
23	23	260508_phytohormones_AKirchhofer_std_5_ngml_2	QC	5.000	5.30	3908769	160173	1664909	72700	2.20321	bb	5.04847	1.0	101.0
24	24	260508_phytohormones_AKirchhofer_S1			5.30	1211790	52436	775509	32634	1.60683	bb	3.67556		
25	25	260508_phytohormones_AKirchhofer_S2			5.30	786801	32372	820731	33997	0.95218	db	2.16850		
26	26	260508_phytohormones_AKirchhofer_S3			5.30	1619506	69680	848153	36035	1.93366	bb	4.42795		
27	27	260508_phytohormones_AKirchhofer_U1			5.30	650578	27697	774523	31310	0.88461	bb	2.01296		
28	28	260508_phytohormones_AKirchhofer_U2			5.30	863387	36655	882928	35994	1.01836	bb	2.32085		
29	29	260508_phytohormones_AKirchhofer_U3			5.30	330417	14779	615484	23625	0.62555	db	1.41657		
30	30	260508_phytohormones_AKirchhofer_std_5_ngml_3	QC	5.000	5.30	3900875	161480	1689937	74229	2.17543	bb	4.98454	-0.3	99.7
31	31	260508_phytohormones_AKirchhofer_BC1			5.30	883217	36751	422380	18634	1.97220	bb	4.51669		
32	32	260508_phytohormones_AKirchhofer_BC3			5.30	113037	4966	179060	7673	0.64715	bb	1.46631		
33	33	260508_phytohormones_AKirchhofer_BC4			5.30	493699	20071	207526	8926	2.24848	MM	5.15269		
34	34	260508_phytohormones_AKirchhofer_BC5			5.30	142145	6134	152815	6063	1.01180	bb	2.30577		
35	35	260508_phytohormones_AKirchhofer_BT1			5.30	231471	9617	194801	8582	1.12063	bb	2.55629		
36	36	260508_phytohormones_AKirchhofer_BT3			5.30	189400	8294	171924	7276	1.13991	db	2.60067		
37	37	260508_phytohormones_AKirchhofer_BT5			5.30	366501	17031	315598	13460	1.26531	bb	2.88936		
38	38	260508_phytohormones_AKirchhofer_MT1			5.30	168370	6551	155147	6535	1.00235	db	2.28400		
39	39	260508_phytohormones_AKirchhofer_MT2			5.30	476434	16804	151177	6225	2.69932	bb	6.19057		
40	40	260508_phytohormones_AKirchhofer_MT3			5.30	287765	12090	180115	7105	1.70163	bb	3.89381		
41	41	260508_phytohormones_AKirchhofer_std_5_ngml_4	QC	5.000	5.30	3834562	160703	1742083	73578	2.18411	bb	5.00452	0.1	100.1
42	42	260508_phytohormones_AKirchhofer_MT4			5.30	394310	16844	203885	8521	1.97669	bb	4.52701		
43	43	260508_phytohormones_AKirchhofer_MC1			5.30	357425	17391	240008	9642	1.80366	db	4.12868		
44	44	260508_phytohormones_AKirchhofer_MC2			5.30	577430	28668	268089	12005	2.38806	MM	5.47404		
45	45	260508_phytohormones_AKirchhofer_MC4						109829	4396					
46	46	260508_phytohormones_AKirchhofer_MC5			5.30	1155188	48429	359722	14548	3.32890	bb	7.63992		
47	47	260508_phytohormones_AKirchhofer_B_1			5.30	1134556	49204	554891	23728	2.07367	bb	4.75028		
48	48	260508_phytohormones_AKirchhofer_B_2			5.30	268778	11390	377061	15531	0.73342	bb	1.66490		
49	49	260508_phytohormones_AKirchhofer_M			5.30	767073	36078	193325	7735	4.66412	bb	10.71371		
50	50	260508_phytohormones_AKirchhofer_unknown			5.30	469268	20816	418447	17836	1.16712	bb	2.66332		
51	51	260508_phytohormones_AKirchhofer_std_5_ngml_5	QC	5.000	5.30	4146292	166697	1799525	74879	2.22622	bb	5.10145	2.0	102.0

Compound 10:  IAA-d5

	#	Name	Type	Std. Conc	RT	Height	Area	IS Height	IS Area	Response	Primary Flags	ng/ml	%Dev	%Rec
1	1	260508_phytohormones_AKirchhofer_MeOH50_1		1.000										
2	2	260508_phytohormones_AKirchhofer_MeOH50_2		1.000										
3	3	260508_phytohormones_AKirchhofer_std_0_ngml		1.000	5.26	1870448	76178			76178.31300	bb	1.01165	1.2	101.2
4	4	260508_phytohormones_AKirchhofer_std_005_ngml	Standard	1.000	5.27	1871526	77099			77099.31300	bb	1.02388	2.4	102.4
5	5	260508_phytohormones_AKirchhofer_std_01_ngml	Standard	1.000	5.27	1787060	74392			74391.63300	bb	0.98792	-1.2	98.8
